id,name,characters,fontFamily,fontSize,positionX,positionY,width,height
I26:4180;2919:262711,Tutorial Mode,Dark Mode,Inter,12,16,868,63,15
I26:4180;2919:262714,Get to know our features,Get to know our features,Inter,14,107,869,167,17
I26:4180;2919:262715,Select,Select ,Inter,14,107,846,44,17
I26:4180;2919:262716,icon to,icon to ,Inter,14,194,846,46,17
26:4183,To-Do Status,To-Do Status,Inter,12,6.5,962,82,15
26:4185,100%,100%,Inter,16,26,920,43,19
I103:2487;1231:59477,Search,Search ,Inter,18,650.4444580078125,30,60,22
103:2489,Help,Help,Inter,16,1295,29.5,36,19
103:2491,KP,KP,Inter,16,1371.5,29.5,21,19
26:4224,CAQH ID: 1726389,CAQH ID: 1726389,Inter,14,143,126,445,17
26:4225,"Welcome Back, Kendra Patel","Welcome Back,
Kendra Patel ",Inter,36,143,154,445,88
26:4226,Credentialing Application,Credentialing Application,Inter,18,628,123,225,22
26:4227,Progress: 88%,Progress: 88%,Inter,14,628,161,97,17
26:4228,Last Attested 12/21/24,Last Attested 12/21/24,Inter,14,830,161,150,17
26:4232,View Summary,View Summary,Inter,14,604,217,139,22
26:4234,Continue,Continue,Inter,14,890,219.5,62,17
26:4235,Directory Information,Directory Information,Inter,18,1043,123,189,22
26:4236,Progress: 0%,Progress: 0%,Inter,14,1043,161,88,17
26:4237,Last Confirmed --/--/--,Last Confirmed --/--/--,Inter,14,1241,161,154,17
26:4241,View Summary,View Summary,Inter,14,1016,217,141,22
26:4243,Begin,Begin,Inter,14,1328,219.5,39,17
26:4244,To Do (29),To Do (29) ,Inter,24,143,301,120,31.56109619140625
26:4245,View All,View All,Inter,14,491,305.89306640625,84,21
26:4246,Estimated completion time 1hr 15 min,Estimated completion time 1hr 15 min,Inter,14,143,337.56103515625,425,18.501331329345703
26:4247,Item,Item,Inter,14,143,385,307,19
26:4248,Status,Status,Inter,14,455,385,45,17
26:4251,12,12,Inter,16,152,445.5,18,19
26:4252,Missing Required Fields,Missing Required Fields,Inter,16,195,445.5,237,19
26:4254,Not Done,Not Done,Inter,12,460,447.5,54,15
26:4257,1,1,Inter,16,157,509.5,8,19
26:4258,Missing Required Documents,Missing Required Documents,Inter,16,195,509.5,237,19
26:4260,Not Done,Not Done,Inter,12,460,511.5,54,15
26:4263,6,6,Inter,16,155.5,573.5,11,19
26:4264,Resolve Credentialing Flags,Resolve Credentialing Flags,Inter,16,195,573.5,237,19
26:4266,Not Done,Not Done,Inter,12,460,575.5,54,15
26:4269,4,4,Inter,16,155.5,637.5,11,19
26:4270,Resolve Directory Flags,Resolve Directory Flags,Inter,16,195,637.5,237,19
26:4272,Not Done,Not Done,Inter,12,460,639.5,54,15
26:4275,1,1,Inter,16,157,701.5,8,19
26:4276,Begin Directory Data,Begin Directory Data,Inter,16,195,701.5,238,19
26:4278,Begin,Begin,Inter,12,461,703.5,33,15
26:4281,4,4,Inter,16,155.5,765.5,11,19
26:4282,Reconcile Data,Reconcile Data,Inter,16,195,765.5,238,19
26:4284,Recommended,Recommended,Inter,12,461,767.5,87,15
26:4290,4,4,Inter,16,155.5,829.5,11,19
26:4291,Reconcile Data,Reconcile Data,Inter,16,195,829.5,238,19
26:4293,Recommended,Recommended,Inter,12,461,831.5,87,15
26:4297,State Application,State Application,Inter,18,143,884,176,22
26:4298,Download,Download,Inter,14,478,886.89306640625,115,17
26:4301,Select State,Select State,Inter,14,143,919,81,17
26:4304,Select,Select,Inter,12,154.046875,953.0064086914062,36,15
26:4307,Include Supporting Docs,Include Supporting Docs,Inter,14,365.53125,952,163,17
26:4308,Communications (56),Communications (56) ,Inter,24,638,301,693,32
26:4311,Received,Received,Inter,14,628,356,507,17
26:4312,Actions,Actions,Inter,14,1247,356,139,17
26:4318,5 hours ago,5 hours ago,Inter,12,669,358,68,15
26:4320,System Maintenance Notice,System Maintenance Notice,Inter,14,669,373,193,22
26:4322,Broadcast,Broadcast,Inter,10,890,378,49,12
26:4323,CAQH will be undergoing scheduled maintenance on 4/2/2025 at 6:00pm. Access may be temporarily unavailable.,CAQH will be undergoing scheduled maintenance on 4/2/2025 at 6:00pm. Access may be temporarily unavailable.,Inter,14,669,395,501,44
26:4377,5 hours ago,5 hours ago,Inter,12,669,468,68,15
26:4379,Directory Confirmation Expiration,Directory Confirmation Expiration,Inter,14,669,483,231,22
26:4381,Broadcast,Broadcast,Inter,10,928,488,49,12
26:4382,13 days until your directory confirmation expires.,13 days until your directory confirmation expires.,Inter,14,669,505,322,22
26:4388,9 hours ago,9 hours ago,Inter,12,669,556,68,15
26:4390,New Feature,New Feature,Inter,14,669,571,86,22
26:4392,Broadcast,Broadcast,Inter,10,783,576,49,12
26:4393,Introducing bulk updates for directory data! Learn how to update multiple locations at once.,Introducing bulk updates for directory data! Learn how to update multiple locations at once.,Inter,14,669,593,501,44
26:4399,Yesterday,Yesterday,Inter,12,669,666,57,15
26:4403,Surrogate Request,Surrogate Request,Inter,14,669,681,129,22
26:4405,Surrogate,Surrogate,Inter,10,826,686,48,12
26:4406,Stacy Stars has submitted updates to your practice locations. Please verify and approve.,Stacy Stars has submitted updates to your practice locations. Please verify and approve.,Inter,14,669,703,490,44
26:4408,Review,Review,Inter,12,693,764.5,42,15
26:4414,March 19 at 2:45 PM,March 19 at 2:45 PM,Inter,12,669,814,118,15
26:4416,Attestation Required,Attestation Required,Inter,14,669,829,142,22
26:4418,Broadcast,Broadcast,Inter,10,839,834,49,12
26:4419,You have made changes to your profile since your last attestation. You must attest for Parti...,You have made changes to your profile since your last attestation. You must attest for Parti...,Inter,14,669,851,501,44
26:4425,March 15 at 2:45 PM,March 15 at 2:45 PM,Inter,12,669,924,117,15
26:4427,Review Required,Review Required,Inter,14,669,939,115,22
26:4429,Broadcast,Broadcast,Inter,10,812,944,49,12
26:4430,6 Credentialing fields flagged for review.,6 Credentialing fields flagged for review.,Inter,14,669,961,428,22
26:4434,All Communications,All Communications,Inter,12,1230.046875,310.0063171386719,112,15
I144:2135;2919:262711,Tutorial Mode,Dark Mode,Inter,12,-1073,8935,63,15
I144:2135;2919:262714,Get to know our features,Get to know our features,Inter,14,-982,8936,167,17
I144:2135;2919:262715,Select,Select ,Inter,14,-982,8913,44,17
I144:2135;2919:262716,icon to,icon to ,Inter,14,-895,8913,46,17
144:2138,To-Do Status,To-Do Status,Inter,12,-1082.5,9029,82,15
144:2140,100%,100%,Inter,16,-1063,8987,43,19
I144:2173;1231:59477,Search,Search ,Inter,18,-438.5555419921875,8097,60,22
144:2175,Help,Help,Inter,16,206,8096.5,36,19
144:2177,KP,KP,Inter,16,282.5,8096.5,21,19
144:2179,CAQH ID: 1726389,CAQH ID: 1726389,Inter,14,-946,8193,445,17
144:2180,"Welcome Back, Kendra Patel","Welcome Back,
Kendra Patel ",Inter,36,-946,8221,445,88
144:2181,Credentialing Application,Credentialing Application,Inter,18,-461,8190,225,22
144:2182,Progress: 88%,Progress: 88%,Inter,14,-461,8228,97,17
144:2183,Last Attested 12/21/24,Last Attested 12/21/24,Inter,14,-259,8228,150,17
144:2187,View Summary,View Summary,Inter,14,-485,8284,139,22
144:2189,Continue,Continue,Inter,14,-199,8286.5,62,17
144:2190,Directory Information,Directory Information,Inter,18,-46,8190,189,22
144:2191,Progress: 0%,Progress: 0%,Inter,14,-46,8228,88,17
144:2192,Last Confirmed --/--/--,Last Confirmed --/--/--,Inter,14,152,8228,154,17
144:2196,View Summary,View Summary,Inter,14,-73,8284,141,22
144:2198,Begin,Begin,Inter,14,239,8286.5,39,17
144:2199,To Do (29),To Do (29) ,Inter,24,-946,8368,120,31.56109619140625
144:2200,View All,View All,Inter,14,-598,8372.892578125,84,21
144:2201,Estimated completion time 1hr 15 min,Estimated completion time 1hr 15 min,Inter,14,-946,8404.560546875,425,18.501331329345703
144:2202,Item,Item,Inter,14,-946,8452,307,19
144:2203,Status,Status,Inter,14,-634,8452,45,17
144:2206,12,12,Inter,16,-937,8512.5,18,19
144:2207,Missing Required Fields,Missing Required Fields,Inter,16,-894,8512.5,237,19
144:2209,Not Done,Not Done,Inter,12,-629,8514.5,54,15
144:2212,1,1,Inter,16,-932,8576.5,8,19
144:2213,Missing Required Documents,Missing Required Documents,Inter,16,-894,8576.5,237,19
144:2215,Not Done,Not Done,Inter,12,-629,8578.5,54,15
144:2218,6,6,Inter,16,-933.5,8640.5,11,19
144:2219,Resolve Credentialing Flags,Resolve Credentialing Flags,Inter,16,-894,8640.5,237,19
144:2221,Not Done,Not Done,Inter,12,-629,8642.5,54,15
144:2224,4,4,Inter,16,-933.5,8704.5,11,19
144:2225,Resolve Directory Flags,Resolve Directory Flags,Inter,16,-894,8704.5,237,19
144:2227,Not Done,Not Done,Inter,12,-629,8706.5,54,15
144:2230,1,1,Inter,16,-932,8768.5,8,19
144:2231,Begin Directory Data,Begin Directory Data,Inter,16,-894,8768.5,238,19
144:2233,Begin,Begin,Inter,12,-628,8770.5,33,15
144:2236,4,4,Inter,16,-933.5,8832.5,11,19
144:2237,Reconcile Data,Reconcile Data,Inter,16,-894,8832.5,238,19
144:2239,Recommended,Recommended,Inter,12,-628,8834.5,87,15
144:2245,4,4,Inter,16,-933.5,8896.5,11,19
144:2246,Reconcile Data,Reconcile Data,Inter,16,-894,8896.5,238,19
144:2248,Recommended,Recommended,Inter,12,-628,8898.5,87,15
144:2251,State Application,State Application,Inter,18,-946,8951,176,22
144:2252,Download,Download,Inter,14,-611,8953.892578125,115,17
144:2255,Select State,Select State,Inter,14,-946,8986,81,17
144:2258,Select,Select,Inter,12,-934.953125,9020.005859375,36,15
144:2261,Include Supporting Docs,Include Supporting Docs,Inter,14,-723.46875,9019,163,17
144:2262,Communications (56),Communications (56) ,Inter,24,-451,8368,693,32
144:2265,Received,Received,Inter,14,-461,8423,507,17
144:2266,Actions,Actions,Inter,14,158,8423,139,17
144:2272,5 hours ago,5 hours ago,Inter,12,-420,8425,68,15
144:2274,System Maintenance Notice,System Maintenance Notice,Inter,14,-420,8440,193,22
144:2276,Broadcast,Broadcast,Inter,10,-199,8445,49,12
144:2277,CAQH will be undergoing scheduled maintenance on 4/2/2025 at 6:00pm. Access may be temporarily unavailable.,CAQH will be undergoing scheduled maintenance on 4/2/2025 at 6:00pm. Access may be temporarily unavailable.,Inter,14,-420,8462,501,44
144:2331,5 hours ago,5 hours ago,Inter,12,-420,8535,68,15
144:2333,Directory Confirmation Expiration,Directory Confirmation Expiration,Inter,14,-420,8550,231,22
